region,sales
North,12500
South,9800
East,11200
West,7600
North,4300
South,5100
East,3900
West,6400
North,8750
South,6320
East,9410
West,5230
North,11080
South,7650
East,4870
West,9120
North,3450
South,8900
East,7340
West,4560
North,6780
South,11230
East,8650
West,3210
North,9870
South,4430
East,6120
West,10450
North,5670
South,7890
East,12300
West,8760
North,7230
South,9560
East,5480
West,6340
North,10120
South,3780
East,8920
West,11670
North,4890
South,6450
East,10230
West,5670
North,8340
South,11780
East,3650
West,9230
North,6120
South,5430
East,7890
West,4320
North,11450
South,8760
East,9340
West,6780
North,3900
South,10230
East,5670
West,8450
North,7560
South,4320
East,11890
West,3450
North,9230
South,6780
East,4560
West,10120
North,5340
South,8900
East,7230
West,5890
North,12100
South,3450
East,9870
West,7340
North,4670
South,10560
East,6450
West,9780
North,8120
South,7230
East,3780
West,4560
North,6450
South,9870
East,11230
West,8900
North,10780
South,4560
East,8340
West,6120
North,3230
South,7890
East,5670
West,11450
North,9120
South,11340
East,4230
West,7560
North,5890
South,6120
East,10780
West,3900
North,7340
South,8450
East,6780
West,9230
North,11670
South,3890
East,9120
West,5450
North,4560
South,10230
East,7890
West,8120
North,8900
South,5670
East,3450
West,10780
North,6230
South,9120
East,11560
West,4890
North,10450
South,7340
East,8230
West,6670
North,3780
South,11890
East,5120
West,9340
North,9560
South,4230
East,6780
West,7890
North,5230
South,8120
East,10340
West,3560
North,7890
South,6450
East,4120
West,11230
North,11120
South,9780
East,7560
West,5340
North,4340
South,3120
East,9230
West,8670
North,8560
South,10450
East,6230
West,4120
North,6780
South,7890
East,11670
West,9560
North,10230
South,5340
East,8450
West,6780
North,3670
South,9230
East,4890
West,10120
North,9450
South,6780
East,7120
West,5890
North,5120
South,11450
East,9780
West,3450
North,7890
South,4120
East,6340
West,8230
North,11340
South,8560
East,3120
West,9670
North,4890
South,7230
East,10560
West,6120
North,8230
South,9670
East,5890
West,11340
North,6120
South,3890
East,8230
West,4560
North,10670
South,5120
East,7890
West,9230
North,3450
South,8230
East,11120
West,6780
North,9780
South,6340
East,4560
West,10890
North,5670
South,10780
East,8120
West,3230
North,7120
South,4560
East,9670
West,7890
North,11890
South,8120
East,6340
West,5120
North,4230
South,9450
East,3780
West,8560
North,8670
South,6120
East,10230
West,4890
North,6340
South,11670
East,7560
West,9120
North,10120
South,3450
East,5890
West,6340
North,3890
South,8670
East,9230
West,10560
North,9340
South,5890
East,6120
West,3780
North,5560
South,7120
East,11890
West,8230
North,7890
South,10340
East,4230
West,6670
North,11230
South,4890
East,8560
West,9450
North,4120
South,6670
East,7340
West,5120
North,8450
South,9230
East,3890
West,10780
North,6780
South,3560
East,10120
West,4340
North,10890
South,8450
East,6780
West,7120
North,3120
South,7890
East,9450
West,11670
North,9670
South,5120
East,4890
West,8340
North,5340
South,10670
East,8120
West,3560
North,7560
South,4340
East,6670
West,9890
North,11450
South,8120
East,3340
West,6120
North,4780
South,9560
East,10890
West,5670
North,8120
South,6780
East,7450
West,10230
North,6450
South,11120
East,5230
West,3890
North,10340
South,3670
East,8780
West,7560
North,3560
South,8340
East,6120
West,9780
North,9890
South,5560
East,11340
West,4120
North,5230
South,7780
East,4560
West,8890
North,7670
South,10120
East,9890
West,6340
North,11560
South,4780
East,7120
West,5230
North,4450
South,9890
East,3560
West,10450
North,8780
South,6230
East,10670
West,4780
North,6120
South,11560
East,8340
West,9120
North,10560
South,3780
East,5120
West,6890
North,3340
South,8890
East,9780
West,11230
North,9120
South,5340
East,6890
West,3670
North,5890
South,7120
East,11560
West,8450
North,7450
South,10890
East,4340
West,6230
North,11780
South,4230
East,8890
West,9560
